Fannie Mae Projected Environmental Impact At Issuance Per CUSIP: Multifamily Green MBS(1)(2),,,,,,,,,
2012-2022,,,,,,,,,
© 2023 Fannie Mae,,,,,,,,,
,,,,,,,,,
Security CUSIP,(notes),Green Financing Type,Issue Date,"Issuance UPB
($USD)","Estimated Annual 
Energy Savings (3)(4)
(kBTU) ","Estimated Annual 
Emissions Savings (3)
(MTCO2e) ","Estimated Annual 
Water Savings (3)
(gallons) ",,
3140LBJP9,,Green Rewards,1 Feb 2021," 1,705,000 "," 85,550 ", 6 ," 27,700 ",,
3140LBJS3,,Green Rewards,1 Feb 2021," 9,315,000 "," 3,390,955 ", 243 ," 1,034,770 ",,
3140LBJT1,,Green Rewards,1 Feb 2021," 7,340,000 "," 227,557 ", 15 ," 133,980 ",,
3140LBK28,,Green Building Certification,1 Feb 2021," 38,110,000 "," 970,314 ", 64 ," 1,311,143 ",,
3140LBKA0,,Green Rewards,1 Feb 2021," 14,404,000 "," 846,707 ", 54 ," 790,720 ",,
3140LBKB8,,Green Rewards,1 Feb 2021," 21,506,000 "," 2,762,127 ", 198 ," 2,308,380 ",,
3140LBKE2,,Green Rewards,1 Feb 2021," 31,596,000 "," 3,797,031 ", 272 ," 2,577,430 ",,
3140LBKJ1,,Green Rewards,1 Feb 2021," 19,736,000 "," 1,325,518 ", 81 ," 759,620 ",,
3140LBKW2,,Green Rewards,1 Feb 2021," 7,377,000 "," 2,237,535 ", 155 ," 1,409,070 ",,
3140LBL68,,Green Building Certification,1 Feb 2021," 68,000,000 "," 2,082,953 ", 101 , -   ,,
3140LBLL5,,Green Rewards,1 Feb 2021," 12,463,000 "," 371,718 ", 20 ," 147,710 ",,
3140LBLX9,,Green Rewards,1 Feb 2021," 30,980,000 "," 1,323,258 ", 87 ," 554,740 ",,
3140J23S3,,Green Rewards,1 Jan 2021," 6,000,500 "," 1,060,889 ", 76 ," 557,750 ",,
3140J24V5,(5),Green Building Certification,1 Jan 2021," 15,900,000 ", -   , -   ," 585,464 ",,
3140J26C5,,Green Rewards,1 Jan 2021," 7,029,000 "," 1,204,017 ", 86 ," 776,070 ",,
3140J26V3,,Green Building Certification,1 Jan 2021," 43,837,000 "," 2,008,735 ", 98 ," 1,740,659 ",,
3140J26W1,,Green Building Certification,1 Jan 2021," 33,345,000 "," 2,246,611 ", 110 ," 2,683,512 ",,
3140J2EA0,,Green Building Certification,1 Jan 2021," 31,304,000 "," 1,099,706 ", 53 ," 1,190,615 ",,
3140J2PM2,,Green Building Certification,1 Jan 2021," 30,537,000 "," 7,704,430 ", 475 , -   ,,
3140J2UD6,,Green Rewards,1 Jan 2021," 36,855,000 "," 4,497,609 ", 322 ," 2,079,650 ",,
3140J2UU8,,Green Building Certification,1 Jan 2021," 20,400,000 "," 314,658 ", 16 ," 449,874 ",,
3140J2UY0,,Green Rewards,1 Jan 2021," 7,810,000 "," 4,075,890 ", 287 ," 411,030 ",,
3140J2V29,,Green Rewards,1 Jan 2021," 27,093,000 "," 5,606,722 ", 357 ," 3,075,000 ",,
3140J2VD5,,Green Rewards,1 Jan 2021," 16,584,000 "," 3,569,653 ", 208 ," 1,779,140 ",,
3140J2X27,,Green Rewards,1 Jan 2021," 27,500,000 "," 2,969,521 ", 175 ," 1,279,780 ",,
3140J2XZ4,,Green Rewards,1 Jan 2021," 6,875,000 "," 3,167,813 ", 194 ," 1,335,540 ",,
3140J3BB9,,Green Building Certification,1 Jan 2021," 6,215,000 "," 346,031 ", 15 , -   ,,
3140J3CY8,,Green Rewards,1 Jan 2021," 46,706,000 "," 6,470,260 ", 415 ," 1,870,560 ",,
3140LA2K0,,Green Rewards,1 Jan 2021," 32,290,000 "," 8,667,339 ", 496 ," 3,326,060 ",,
3140LA3A1,,Green Rewards,1 Jan 2021," 8,404,000 "," 3,304,990 ", 217 ," 1,659,080 ",,
3140LA3W3,,Green Building Certification,1 Jan 2021," 3,250,000 "," 445,086 ", 14 , -   ,,
3140LA4B8,,Green Rewards,1 Jan 2021," 7,679,750 "," 695,970 ", 42 ," 572,330 ",,
3140LA4F9,,Green Rewards,1 Jan 2021," 6,084,000 "," 485,718 ", 30 ," 912,540 ",,
3140LA4G7,,Green Rewards,1 Jan 2021," 12,766,000 "," 342,934 ", 23 ," 235,060 ",,
3140LA4W2,,Green Building Certification,1 Jan 2021," 4,000,000 "," 88,460 ", 3 , -   ,,
3140LA5R2,(5),Green Building Certification,1 Jan 2021," 99,459,000 ", -   , -   ," 2,317,766 ",,
3140LAB53,,Green Rewards,1 Jan 2021," 43,500,000 "," 3,920,699 ", 255 ," 2,843,030 ",,
3140LABT1,,Green Rewards,1 Jan 2021," 47,775,000 "," 4,710,786 ", 337 ," 3,030,430 ",,
3140LAC45,,Green Rewards,1 Jan 2021," 15,000,000 "," 4,894,088 ", 329 ," 2,054,760 ",,
3140LACD5,,Green Building Certification,1 Jan 2021," 28,762,000 "," 691,837 ", 35 ," 699,867 ",,
3140LACM5,,Green Rewards,1 Jan 2021," 46,150,000 "," 3,096,008 ", 191 ," 1,711,350 ",,
3140LADH5,,Green Rewards,1 Jan 2021," 7,250,000 "," 304,215 ", 22 ," 156,650 ",,
3140LADR3,,Green Rewards,1 Jan 2021," 10,360,000 "," 1,388,783 ", 84 ," 546,620 ",,
3140LADS1,,Green Rewards,1 Jan 2021," 16,725,000 "," 1,771,066 ", 115 ," 1,080,620 ",,
3140LADT9,,Green Rewards,1 Jan 2021," 7,210,000 "," 826,826 ", 49 ," 470,080 ",,
3140LADU6,,Green Rewards,1 Jan 2021," 7,910,000 "," 896,366 ", 48 ," 292,690 ",,
3140LAEG6,,Green Rewards,1 Jan 2021," 6,556,000 "," 355,075 ", 19 ," 270,400 ",,
3140LAEL5,,Green Building Certification,1 Jan 2021," 37,500,000 "," 853,694 ", 19 ," 1,388,493 ",,
3140LAEN1,,Green Rewards,1 Jan 2021," 23,101,000 "," 3,688,184 ", 220 ," 1,348,550 ",,
3140LAET8,,Green Rewards,1 Jan 2021," 11,134,000 "," 679,940 ", 37 ," 694,520 ",,
3140LAF26,,Green Rewards,1 Jan 2021," 18,017,000 "," 1,253,479 ", 79 ," 1,317,770 ",,
3140LAF42,,Green Rewards,1 Jan 2021," 6,300,000 "," 4,588,488 ", 329 ," 1,269,520 ",,
3140LAF75,,Green Rewards,1 Jan 2021," 4,000,000 "," 1,421,376 ", 102 ," 789,830 ",,
3140LAFZ3,,Green Rewards,1 Jan 2021," 4,200,000 "," 773,143 ", 55 ," 540,870 ",,
3140LAG33,,Green Rewards,1 Jan 2021," 9,245,000 "," 2,455,292 ", 176 ," 1,364,770 ",,
3140LAG74,,Green Rewards,1 Jan 2021," 20,225,000 "," 4,043,962 ", 290 ," 2,832,610 ",,
3140LAGJ8,,Green Rewards,1 Jan 2021," 7,665,000 "," 1,361,699 ", 91 ," 916,380 ",,
3140LAGN9,,Green Building Certification,1 Jan 2021," 49,463,000 "," 1,859,974 ", 113 , -   ,,
3140LAGP4,,Green Building Certification,1 Jan 2021," 8,074,000 "," 494,623 ", 16 , -   ,,
3140LAGR0,,Green Rewards,1 Jan 2021," 84,075,000 "," 18,247,868 "," 1,299 "," 6,831,390 ",,
3140LAH57,,Green Rewards,1 Jan 2021," 14,341,000 "," 1,694,460 ", 88 ," 1,283,820 ",,
3140LAH81,,Green Rewards,1 Jan 2021," 12,899,000 "," 3,450,553 ", 238 ," 832,580 ",,
3140LAHB4,,Green Building Certification,1 Jan 2021," 76,256,000 "," 14,939,540 ", 382 ," 2,485,663 ",,
3140LAHC2,,Green Building Certification,1 Jan 2021," 104,377,000 "," 3,508,227 ", 114 ," 1,206,161 ",,
3140LAHD0,,Green Rewards,1 Jan 2021," 65,860,000 "," 12,725,738 ", 867 ," 3,867,750 ",,
3140LAHR9,,Green Rewards,1 Jan 2021," 6,050,000 "," 1,687,560 ", 100 ," 1,695,930 ",,
3140LAHS7,,Green Rewards,1 Jan 2021," 4,420,000 "," 1,063,682 ", 64 ," 1,115,470 ",,
3140LAHT5,,Green Rewards,1 Jan 2021," 17,000,000 "," 5,058,239 ", 284 ," 2,693,690 ",,
3140LAJ48,,Green Rewards,1 Jan 2021," 11,565,000 "," 3,062,230 ", 193 ," 2,646,360 ",,
3140LAJ71,,Green Building Certification,1 Jan 2021," 15,195,000 "," 382,289 ", 16 ," 456,633 ",,
3140LAJC0,,Green Building Certification,1 Jan 2021," 10,588,000 "," 427,293 ", 15 ," 224,946 ",,
3140LAJQ9,,Green Rewards,1 Jan 2021," 6,252,000 "," 260,517 ", 19 ," 165,230 ",,
3140LAJS5,,Green Rewards,1 Jan 2021," 14,400,000 "," 744,976 ", 42 ," 514,790 ",,
3140LAJW6,,Green Rewards,1 Jan 2021," 40,050,000 "," 4,899,611 ", 351 ," 1,738,980 ",,
3140LAK79,,Green Rewards,1 Jan 2021," 40,600,000 "," 7,343,597 ", 526 ," 3,956,670 ",,
3140LAKG9,,Green Rewards,1 Jan 2021," 9,425,000 "," 1,878,085 ", 99 ," 1,339,410 ",,
3140LAKH7,,Green Rewards,1 Jan 2021," 13,000,000 "," 1,727,363 ", 97 ," 1,419,320 ",,
3140LAKR5,,Green Building Certification,1 Jan 2021," 41,850,000 "," 1,357,099 ", 67 ," 1,631,862 ",,
3140LAKW4,,Green Rewards,1 Jan 2021," 12,000,000 "," 449,890 ", 33 ," 153,950 ",,
3140LAL29,,Green Building Certification,1 Jan 2021," 43,420,000 "," 1,907,606 ", 82 ," 1,833,683 ",,
3140LAMJ1,,Green Building Certification,1 Jan 2021," 21,954,000 "," 4,329,482 ", 242 , -   ,,
3140LAML6,,Green Rewards,1 Jan 2021," 39,000,000 "," 5,593,245 ", 283 ," 5,438,000 ",,
3140LAMR3,,Green Rewards,1 Jan 2021," 28,880,000 "," 4,382,683 ", 306 ," 1,588,880 ",,
3140LANK7,,Green Rewards,1 Jan 2021," 33,713,000 "," 6,783,123 ", 486 ," 3,497,520 ",,
3140LANM3,,Green Rewards,1 Jan 2021," 42,770,000 "," 5,197,434 ", 331 ," 1,496,870 ",,
3140LANW1,,Green Rewards,1 Jan 2021," 6,050,000 "," 530,985 ", 27 ," 358,000 ",,
3140LAP33,,Green Building Certification,1 Jan 2021," 6,750,000 "," 812,573 ", 32 , -   ,,
3140LAPE9,,Green Rewards,1 Jan 2021," 18,028,000 "," 4,406,865 ", 298 ," 1,281,230 ",,
3140LAPF6,,Green Rewards,1 Jan 2021," 22,908,000 "," 1,238,458 ", 81 ," 934,480 ",,
3140LAPJ8,,Green Building Certification,1 Jan 2021," 31,980,000 "," 6,557,424 ", 375 , -   ,,
3140LAPQ2,,Green Rewards,1 Jan 2021," 11,000,000 "," 3,006,318 ", 193 ," 1,161,140 ",,
3140LAPS8,,Green Rewards,1 Jan 2021," 13,616,000 "," 2,709,544 ", 194 ," 1,202,900 ",,
3140LAPW9,,Green Rewards,1 Jan 2021," 14,096,000 "," 2,733,474 ", 196 ," 1,094,930 ",,
3140LAPY5,(5),Green Building Certification,1 Jan 2021," 63,000,000 ", -   , -   , -   ,,
3140LAPZ2,,Green Building Certification,1 Jan 2021," 43,972,000 "," 1,877,875 ", 64 , -   ,,
3140LAQ40,,Green Rewards,1 Jan 2021," 47,160,000 "," 5,733,230 ", 411 ," 1,967,060 ",,
3140LAQ81,,Green Rewards,1 Jan 2021," 18,000,000 "," 3,664,680 ", 263 ," 1,171,720 ",,
3140LAQB4,,Green Building Certification,1 Jan 2021," 15,925,000 "," 1,061,561 ", 31 ," 544,356 ",,
3140LAQH1,,Green Building Certification,1 Jan 2021," 38,200,000 "," 207,491 ", 10 ," 2,120,049 ",,
3140LAR23,,Green Building Certification,1 Jan 2021," 31,070,000 "," 3,728,234 ", 203 , -   ,,
3140LAR31,,Green Rewards,1 Jan 2021," 12,118,000 "," 665,869 ", 45 ," 247,600 ",,
3140LAR49,(5),Green Building Certification,1 Jan 2021," 13,500,000 ", -   , -   ," 292,041 ",,
3140LAR64,,Green Building Certification,1 Jan 2021," 98,921,000 "," 2,357,669 ", 155 ," 2,388,180 ",,
3140LARJ6,,Green Building Certification,1 Jan 2021," 11,545,000 "," 397,089 ", 16 ," 423,738 ",,
3140LARL1,,Green Rewards,1 Jan 2021," 18,200,000 "," 4,699,425 ", 337 ," 1,231,290 ",,
3140LARM9,,Green Rewards,1 Jan 2021," 24,365,000 "," 6,604,441 ", 416 ," 4,334,170 ",,
3140LARU1,,Green Rewards,1 Jan 2021," 28,898,000 "," 8,002,057 ", 573 ," 2,137,090 ",,
3140LAS22,,Green Rewards,1 Jan 2021," 53,000,000 "," 8,664,311 ", 605 ," 2,708,460 ",,
3140LAS55,,Green Rewards,1 Jan 2021," 6,001,000 "," 946,895 ", 68 ," 431,920 ",,
3140LAS63,,Green Building Certification,1 Jan 2021," 6,061,000 "," 263,938 ", 7 , -   ,,
3140LAS89,,Green Rewards,1 Jan 2021," 1,544,000 "," 314,917 ", 19 ," 156,360 ",,
3140LASE6,,Green Rewards,1 Jan 2021," 48,093,000 "," 1,926,864 ", 129 ," 1,031,510 ",,
3140LASH9,,Green Building Certification,1 Jan 2021," 1,787,000 "," 241,220 ", 13 ," 175,644 ",,
3140LASP1,(5),Green Building Certification,1 Jan 2021," 13,396,000 ", -   , -   , -   ,,
3140LAT96,,Green Rewards,1 Jan 2021," 18,844,000 "," 2,356,255 ", 169 ," 1,534,110 ",,
3140LAU78,,Green Building Certification,1 Jan 2021," 137,697,000 "," 10,763,744 ", 538 , -   ,,
3140LAU94,,Green Building Certification,1 Jan 2021," 8,850,000 "," 325,506 ", 16 , -   ,,
3140LAUE3,,Green Rewards,1 Jan 2021," 8,870,000 "," 1,037,157 ", 71 ," 391,140 ",,
3140LAUH6,,Green Rewards,1 Jan 2021," 25,296,800 "," 885,495 ", 63 ," 455,410 ",,
3140LAUL7,,Green Rewards,1 Jan 2021," 6,005,000 "," 699,284 ", 51 ," 132,710 ",,
3140LAUW3,,Green Rewards,1 Jan 2021," 12,500,000 "," 464,157 ", 31 ," 783,140 ",,
3140LAUX1,,Green Building Certification,1 Jan 2021," 62,500,000 "," 1,628,166 ", 80 ," 1,957,811 ",,
3140LAV36,,Green Rewards,1 Jan 2021," 24,150,000 "," 9,115,051 ", 589 ," 7,276,440 ",,
3140LAVV4,,Green Building Certification,1 Jan 2021," 39,973,000 "," 4,815,835 ", 255 , -   ,,
3140LAVX0,,Green Rewards,1 Jan 2021," 7,906,000 "," 2,301,693 ", 165 ," 1,019,320 ",,
3140LAW35,,Green Rewards,1 Jan 2021," 11,762,000 "," 1,993,703 ", 143 ," 1,413,090 ",,
3140LAWU5,,Green Rewards,1 Jan 2021," 34,800,000 "," 6,608,249 ", 473 ," 2,573,900 ",,
3140LAWW1,,Green Rewards,1 Jan 2021," 8,025,000 "," 1,826,153 ", 115 ," 1,142,380 ",,
3140LAWX9,,Green Rewards,1 Jan 2021," 10,325,000 "," 976,487 ", 70 ," 689,470 ",,
3140LAWY7,,Green Rewards,1 Jan 2021," 38,004,000 "," 4,696,411 ", 336 ," 1,805,010 ",,
3140LAX59,,Green Rewards,1 Jan 2021," 10,763,000 "," 2,976,541 ", 201 ," 1,540,000 ",,
3140LAX67,,Green Rewards,1 Jan 2021," 19,776,000 "," 2,394,029 ", 172 ," 989,430 ",,
3140LAXB6,,Green Rewards,1 Jan 2021," 7,884,000 "," 394,392 ", 24 ," 248,740 ",,
3140LAXD2,,Green Rewards,1 Jan 2021," 31,538,000 "," 3,949,936 ", 253 ," 1,994,820 ",,
3140LAXF7,,Green Rewards,1 Jan 2021," 6,675,000 "," 602,450 ", 34 ," 202,810 ",,
3140LAXM2,(5),Green Building Certification,1 Jan 2021," 41,910,000 ", -   , -   ," 1,318,082 ",,
3140LAXP5,,Green Rewards,1 Jan 2021," 5,445,000 "," 334,339 ", 18 ," 511,180 ",,
3140LAXR1,,Green Rewards,1 Jan 2021," 10,760,000 "," 2,043,399 ", 135 ," 1,363,550 ",,
3140LAXS9,,Green Rewards,1 Jan 2021," 8,500,000 "," 1,398,970 ", 93 ," 1,119,710 ",,
3140LAY33,,Green Rewards,1 Jan 2021," 40,376,000 "," 7,830,171 ", 438 ," 6,022,830 ",,
3140LAY90,,Green Building Certification,1 Jan 2021," 24,500,000 "," 2,701,002 ", 158 ," 1,000,661 ",,
3140LAYB5,,Green Rewards,1 Jan 2021," 18,225,000 "," 4,578,301 ", 277 ," 3,326,620 ",,
3140LAYC3,(5),Green Building Certification,1 Jan 2021," 17,550,000 ", -   , -   ," 229,203 ",,
3140LAYE9,(5),Green Building Certification,1 Jan 2021," 32,844,000 ", -   , -   ," 478,526 ",,
3140LAYF6,,Green Rewards,1 Jan 2021," 8,406,000 "," 247,928 ", 15 ," 208,270 ",,
3140LAYK5,,Green Rewards,1 Jan 2021," 20,353,000 "," 1,728,825 ", 102 ," 2,038,590 ",,
3140LAYP4,,Green Building Certification,1 Jan 2021," 5,743,000 "," 545,314 ", 18 , -   ,,
3140LAYQ2,,Green Building Certification,1 Jan 2021," 17,203,000 "," 1,835,909 ", 60 , -   ,,
3140LAYR0,,Green Rewards,1 Jan 2021," 7,442,000 "," 1,658,752 ", 103 ," 1,316,780 ",,
3140LAYX7,,Green Rewards,1 Jan 2021," 5,251,000 "," 1,796,432 ", 105 ," 802,020 ",,
3140LAYZ2,,Green Rewards,1 Jan 2021," 17,520,000 "," 4,355,019 ", 221 ," 4,007,700 ",,
3140LAZ65,,Green Rewards,1 Jan 2021," 60,270,000 "," 9,492,275 ", 601 ," 1,720,120 ",,
3140LAZ73,,Green Rewards,1 Jan 2021," 6,056,000 "," 896,529 ", 64 ," 378,800 ",,
3140LAZG3,,Green Rewards,1 Jan 2021," 8,647,000 "," 1,763,317 ", 126 ," 1,109,010 ",,
3140LBBV4,,Green Building Certification,1 Jan 2021," 15,150,000 "," 423,740 ", 17 ," 452,178 ",,
3140J12J6,,Green Rewards,1 Dec 2020," 23,205,000 "," 2,674,548 ", 159 ," 1,025,490 ",,
3140J15X2,,Green Rewards,1 Dec 2020," 25,650,000 "," 4,815,013 ", 340 ," 1,978,660 ",,
3140J16M5,(5),Green Building Certification,1 Dec 2020," 49,000,000 ", -   , -   , -   ,,
3140J1LB2,,Green Building Certification,1 Dec 2020," 9,586,000 "," 172,765 ", 6 ," 123,000 ",,
3140J1LC0,,Green Building Certification,1 Dec 2020," 16,555,000 "," 371,602 ", 12 ," 267,000 ",,
3140J1XV5,,Green Rewards,1 Dec 2020," 46,280,000 "," 13,470,802 ", 965 ," 3,354,640 ",,
3140J1XX1,,Green Rewards,1 Dec 2020," 49,000,000 "," 4,809,665 ", 291 ," 2,473,790 ",,
3140J1YF9,,Green Rewards,1 Dec 2020," 16,906,000 "," 2,895,586 ", 189 ," 1,669,030 ",,
3140J22B1,,Green Rewards,1 Dec 2020," 14,850,000 "," 2,013,610 ", 129 ," 1,596,390 ",,
3140J22G0,,Green Rewards,1 Dec 2020," 16,320,000 "," 2,058,022 ", 133 ," 1,095,000 ",,
3140J22J4,,Green Rewards,1 Dec 2020," 11,518,000 "," 2,124,243 ", 152 ," 1,086,220 ",,
3140J22Y1,,Green Rewards,1 Dec 2020," 10,080,000 "," 2,055,539 ", 128 ," 1,815,900 ",,
3140J22Z8,,Green Rewards,1 Dec 2020," 30,140,000 "," 2,952,688 ", 183 ," 1,576,150 ",,
3140J23E4,,Green Building Certification,1 Dec 2020," 39,565,000 "," 969,864 ", 49 ," 1,254,000 ",,
3140J23U8,,Green Rewards,1 Dec 2020," 11,582,000 "," 1,573,872 ", 113 ," 1,007,230 ",,
3140J24G8,,Green Rewards,1 Dec 2020," 9,519,000 "," 3,023,991 ", 217 ," 833,730 ",,
3140J24K9,,Green Rewards,1 Dec 2020," 14,000,000 "," 3,440,919 ", 247 ," 2,440,360 ",,
3140J24L7,,Green Rewards,1 Dec 2020," 3,300,000 "," 1,910,758 ", 137 ," 1,158,770 ",,
3140J24M5,,Green Rewards,1 Dec 2020," 6,756,000 "," 1,712,764 ", 96 ," 2,101,070 ",,
3140J24R4,,Green Rewards,1 Dec 2020," 6,188,000 "," 2,445,611 ", 175 ," 1,001,920 ",,
3140J25A0,,Green Rewards,1 Dec 2020," 114,999,000 "," 18,783,230 "," 1,029 "," 6,139,200 ",,
3140J25B8,,Green Rewards,1 Dec 2020," 23,441,000 "," 6,178,467 ", 339 ," 519,030 ",,
3140J25C6,,Green Rewards,1 Dec 2020," 19,134,000 "," 5,590,906 ", 307 , -   ,,
3140J25K8,,Green Rewards,1 Dec 2020," 6,273,000 "," 1,042,764 ", 75 ," 568,240 ",,
3140J25L6,,Green Rewards,1 Dec 2020," 19,650,000 "," 5,794,149 ", 415 ," 3,866,220 ",,
3140J25P7,,Green Building Certification,1 Dec 2020," 6,100,000 "," 618,781 ", 34 ," 432,000 ",,
3140J25Q5,,Green Rewards,1 Dec 2020," 10,200,000 "," 2,224,680 ", 159 ," 997,320 ",,
3140J25S1,,Green Rewards,1 Dec 2020," 16,950,000 "," 4,879,978 ", 350 ," 2,439,270 ",,
3140J26A9,,Green Rewards,1 Dec 2020," 12,051,000 "," 886,101 ", 56 ," 397,150 ",,
3140J26D3,,Green Rewards,1 Dec 2020," 12,431,000 "," 966,396 ", 61 ," 1,035,560 ",,
3140J26X9,,Green Rewards,1 Dec 2020," 37,765,000 "," 3,544,917 ", 208 ," 1,541,500 ",,
3140J27F7,,Green Building Certification,1 Dec 2020," 39,106,000 "," 8,359,416 ", 478 , -   ,,
3140J27G5,,Green Building Certification,1 Dec 2020," 27,397,000 "," 1,476,522 ", 42 ," 789,000 ",,
3140J2CS3,,Green Rewards,1 Dec 2020," 10,000,000 "," 952,991 ", 51 ," 534,790 ",,
3140J2CV6,,Green Rewards,1 Dec 2020," 25,274,000 "," 1,028,546 ", 72 ," 357,280 ",,
3140J2K70,,Green Building Certification,1 Dec 2020," 36,234,000 "," 2,044,872 ", 100 , -   ,,
3140J2L38,,Green Rewards,1 Dec 2020," 13,530,000 "," 727,880 ", 46 ," 520,330 ",,
3140J2L46,,Green Rewards,1 Dec 2020," 15,400,000 "," 664,155 ", 40 ," 439,530 ",,
3140J2L53,,Green Rewards,1 Dec 2020," 15,425,000 "," 1,041,612 ", 61 ," 621,110 ",,
3140J2LT1,,Green Rewards,1 Dec 2020," 18,400,000 "," 3,649,020 ", 243 ," 1,416,580 ",,
3140J2LU8,,Green Rewards,1 Dec 2020," 31,600,000 "," 4,557,868 ", 327 ," 1,525,550 ",,
3140J2LZ7,,Green Rewards,1 Dec 2020," 27,590,000 "," 4,390,015 ", 269 ," 7,295,970 ",,
3140J2M86,,Green Rewards,1 Dec 2020," 18,147,000 "," 1,841,646 ", 108 ," 1,448,080 ",,
3140J2MW3,,Green Rewards,1 Dec 2020," 9,993,000 "," 3,159,320 ", 170 ," 2,368,470 ",,
3140J2MX1,,Green Rewards,1 Dec 2020," 20,412,000 "," 1,290,516 ", 79 ," 917,490 ",,
3140J2MY9,,Green Rewards,1 Dec 2020," 30,550,000 "," 6,535,697 ", 468 ," 1,977,390 ",,
3140J2N85,,Green Rewards,1 Dec 2020," 6,176,000 "," 1,431,136 ", 84 ," 1,008,810 ",,
3140J2PR1,,Green Rewards,1 Dec 2020," 11,772,000 "," 2,099,976 ", 150 ," 1,958,980 ",,
3140J2Q41,,Green Rewards,1 Dec 2020," 35,110,000 "," 3,154,043 ", 210 ," 1,597,660 ",,
3140J2Q58,,Green Rewards,1 Dec 2020," 5,610,000 "," 481,303 ", 30 ," 459,260 ",,
3140J2QH2,,Green Rewards,1 Dec 2020," 23,900,000 "," 3,049,395 ", 184 ," 2,461,800 ",,
3140J2RN8,,Green Building Certification,1 Dec 2020," 27,000,000 "," 1,266,772 ", 70 ," 798,000 ",,
3140J2RS7,,Green Rewards,1 Dec 2020," 34,875,000 "," 3,685,100 ", 257 ," 2,449,660 ",,
3140J2S23,,Green Rewards,1 Dec 2020," 28,892,000 "," 7,441,583 ", 498 ," 3,649,000 ",,
3140J2S31,,Green Building Certification,1 Dec 2020," 8,339,000 "," 2,817,165 ", 153 ," 1,902,000 ",,
3140J2S64,,Green Rewards,1 Dec 2020," 9,611,000 "," 1,895,169 ", 124 ," 1,004,060 ",,
3140J2S98,,Green Rewards,1 Dec 2020," 22,720,000 "," 913,108 ", 59 ," 950,450 ",,
3140J2SA5,,Green Rewards,1 Dec 2020," 5,000,000 "," 543,261 ", 30 ," 740,940 ",,
3140J2SV9,,Green Rewards,1 Dec 2020," 59,675,000 "," 5,049,961 ", 314 ," 1,841,760 ",,
3140J2SY3,,Green Building Certification,1 Dec 2020," 30,375,000 "," 9,206,987 ", 499 ," 6,219,000 ",,
3140J2SZ0,,Green Rewards,1 Dec 2020," 5,247,000 "," 1,135,484 ", 81 ," 881,000 ",,
3140J2T22,,Green Rewards,1 Dec 2020," 23,170,000 "," 5,098,393 ", 353 ," 1,270,730 ",,
3140J2T48,,Green Rewards,1 Dec 2020," 10,900,000 "," 2,742,587 ", 181 ," 1,577,000 ",,
3140J2T89,,Green Rewards,1 Dec 2020," 35,035,000 "," 4,068,009 ", 291 ," 1,485,170 ",,
3140J2TV8,,Green Building Certification,1 Dec 2020," 35,100,000 "," 1,852,993 ", 91 ," 1,284,000 ",,
3140J2TY2,,Green Rewards,1 Dec 2020," 41,820,000 "," 9,800,680 ", 702 ," 2,195,600 ",,
3140J2TZ9,,Green Rewards,1 Dec 2020," 95,000,000 "," 6,285,330 ", 404 ," 3,003,840 ",,
3140J2U38,,Green Rewards,1 Dec 2020," 16,212,000 "," 2,451,299 ", 152 ," 981,530 ",,
3140J2UH7,,Green Building Certification,1 Dec 2020," 32,825,000 "," 7,185,038 ", 471 , -   ,,
3140J2UM6,,Green Rewards,1 Dec 2020," 3,750,000 "," 1,605,269 ", 93 ," 1,008,740 ",,
3140J2UW4,,Green Rewards,1 Dec 2020," 14,120,000 "," 4,161,768 ", 264 ," 1,643,360 ",,
3140J2V78,(5),Green Building Certification,1 Dec 2020," 49,800,000 ", -   , -   ," 1,401,000 ",,
3140J2V86,,Green Building Certification,1 Dec 2020," 34,246,000 "," 1,877,011 ", 92 ," 1,302,000 ",,
3140J2V94,,Green Rewards,1 Dec 2020," 24,029,000 "," 3,628,998 ", 260 ," 2,904,450 ",,
3140J2VH6,,Green Rewards,1 Dec 2020," 19,500,000 "," 7,956,821 ", 570 ," 3,394,050 ",,
3140J2VJ2,,Green Rewards,1 Dec 2020," 12,500,000 "," 3,760,556 ", 225 ," 3,314,940 ",,
3140J2VM5,,Green Rewards,1 Dec 2020," 21,835,000 "," 1,512,285 ", 93 ," 1,512,910 ",,
3140J2VN3,,Green Rewards,1 Dec 2020," 15,803,000 "," 1,451,277 ", 88 ," 1,649,470 ",,
3140J2VS2,,Green Building Certification,1 Dec 2020," 58,223,000 "," 1,469,065 ", 39 , -   ,,
3140J2VX1,,Green Rewards,1 Dec 2020," 18,312,000 "," 4,058,550 ", 291 ," 1,764,250 ",,
3140J2W36,,Green Rewards,1 Dec 2020," 40,720,000 "," 6,018,116 ", 431 ," 2,924,680 ",,
3140J2WA0,,Green Rewards,1 Dec 2020," 21,375,000 "," 3,116,051 ", 223 ," 2,160,450 ",,
3140J2WH5,,Green Rewards,1 Dec 2020," 13,195,000 "," 3,334,631 ", 214 ," 2,677,420 ",,
3140J2WP7,,Green Rewards,1 Dec 2020," 8,450,000 "," 2,549,819 ", 183 ," 983,230 ",,
3140J2X50,,Green Rewards,1 Dec 2020," 12,410,000 "," 5,907,304 ", 419 ," 2,318,000 ",,
3140J2X84,,Green Rewards,1 Dec 2020," 16,390,000 "," 1,539,339 ", 88 ," 1,467,780 ",,
