Fannie Mae Projected Environmental Impact At Issuance Per CUSIP: Multifamily Green MBS(1)(2),,,,,,,,,
2012-2022,,,,,,,,,
© 2023 Fannie Mae,,,,,,,,,
,,,,,,,,,
Security CUSIP,(notes),Green Financing Type,Issue Date,"Issuance UPB
($USD)","Estimated Annual 
Energy Savings (3)(4)
(kBTU) ","Estimated Annual 
Emissions Savings (3)
(MTCO2e) ","Estimated Annual 
Water Savings (3)
(gallons) ",,
3140LG4F6,,Green Building Certification,1 Aug 2022," 32,487,000 "," 1,647,064 ", 54 , -   ,,
3140LG4N9,(5),Green Building Certification,1 Aug 2022," 12,723,000 ", -   , -   ," 125,682 ",,
3140LG4Z2,(5),Green Building Certification,1 Aug 2022," 102,428,700 ", -   , -   , -   ,,
3140LG5F5,,Green Building Certification,1 Aug 2022," 17,660,000 "," 1,435,086 ", 53 , -   ,,
3140LG6J6,,Green Building Certification,1 Aug 2022," 40,680,000 "," 8,345,977 ", 358 , -   ,,
3140LG7H9,(5),Green Building Certification,1 Aug 2022," 34,595,000 ", -   , -   ," 486,912 ",,
3140LGF98,,Green Building Certification,1 Aug 2022," 220,128,000 "," 22,222,998 "," 1,116 ", -   ,,
3140LGWS7,,Green Building Certification,1 Aug 2022," 115,540,000 "," 8,849,100 ", 342 , -   ,,
3140LGX80,,Green Building Certification,1 Aug 2022," 24,165,000 "," 3,327,124 ", 106 , -   ,,
3140LGYL0,,Green Building Certification,1 Aug 2022," 27,454,000 "," 2,577,014 ", 96 , -   ,,
3140LGZD7,,Green Building Certification,1 Aug 2022," 31,466,000 "," 2,272,699 ", 87 , -   ,,
3140LGZS4,,Green Building Certification,1 Aug 2022," 69,859,000 "," 6,275,755 ", 335 , -   ,,
3140LHAE0,,Green Building Certification,1 Aug 2022," 26,291,000 "," 2,374,562 ", 76 , -   ,,
3140LHB25,,Green Building Certification,1 Aug 2022," 74,674,000 "," 9,255,877 ", 464 , -   ,,
3140LHEQ9,,Green Building Certification,1 Aug 2022," 55,736,000 "," 7,235,638 ", 283 , -   ,,
3140LHCB4,,Green Rewards,1 Aug 2022," 15,592,000 "," 3,397,120 ", 243 ," 1,895,300 ",,
3140LHE89,,Green Rewards,1 Aug 2022," 23,310,000 "," 2,876,547 ", 206 ," 766,940 ",,
3140LG4M1,,Green Building Certification,1 Jul 2022," 9,119,000 "," 1,541,865 ", 77 , -   ,,
3140LGC42,(5),Green Building Certification,1 Jul 2022," 49,700,000 ", -   , -   , -   ,,
3140LGJC7,,Green Building Certification,1 Jul 2022," 9,877,000 "," 516,134 ", 18 , -   ,,
3140LGLY6,,Green Building Certification,1 Jul 2022," 40,020,000 "," 4,026,457 ", 163 , -   ,,
3140LGQ88,,Green Building Certification,1 Jul 2022," 10,771,000 "," 547,912 ", 18 , -   ,,
3140LGSA1,,Green Building Certification,1 Jul 2022," 38,144,000 "," 5,429,044 ", 215 , -   ,,
3140LGSB9,,Green Building Certification,1 Jul 2022," 54,620,000 "," 3,709,821 ", 147 , -   ,,
3140LGU75,,Green Building Certification,1 Jul 2022," 16,850,000 "," 975,257 ", 32 , -   ,,
3140LGVQ2,,Green Building Certification,1 Jul 2022," 14,192,000 "," 1,151,420 ", 44 , -   ,,
3140LGWB4,,Green Building Certification,1 Jul 2022," 39,506,000 "," 4,456,777 ", 208 , -   ,,
3140LGXA5,,Green Building Certification,1 Jul 2022," 16,521,000 "," 1,816,719 ", 78 , -   ,,
3140LGYK2,,Green Building Certification,1 Jul 2022," 41,980,000 "," 3,352,741 ", 138 , -   ,,
3140LG2K7,,Green Rewards,1 Jul 2022," 30,000,000 "," 4,709,389 ", 331 ," 7,367,260 ",,
3140LGGQ9,,Green Rewards,1 Jul 2022," 10,165,000 "," 2,255,327 ", 162 ," 684,850 ",,
3140LGRQ7,,Green Rewards,1 Jul 2022," 48,000,000 "," 6,986,874 ", 419 ," 2,696,500 ",,
3140LGZC9,,Green Rewards,1 Jul 2022," 105,000,000 "," 13,366,131 ", 834 ," 5,528,730 ",,
3140LGCX8,,Green Building Certification,1 Jun 2022," 67,706,000 "," 5,131,281 ", 218 , -   ,,
3140LGFR8,,Green Building Certification,1 Jun 2022," 39,030,000 "," 3,065,801 ", 121 , -   ,,
3140LGG97,,Green Building Certification,1 Jun 2022," 28,476,000 "," 1,263,018 ", 55 , -   ,,
3140LGJL7,,Green Building Certification,1 Jun 2022," 42,052,000 "," 5,914,408 ", 268 , -   ,,
3140LGNX6,,Green Building Certification,1 Jun 2022," 15,340,000 "," 2,422,782 ", 74 , -   ,,
3140LGRA2,(6),Green Building Certification,1 Jun 2022," 6,182,000 "," 107,846 ", 4 , -   ,,
3140LGRB0,,Green Building Certification,1 Jun 2022," 15,061,000 "," 2,903,029 ", 136 , -   ,,
3140LGSC7,,Green Building Certification,1 Jun 2022," 45,193,000 "," 7,749,303 ", 255 , -   ,,
3140LGSJ2,,Green Building Certification,1 Jun 2022," 1,514,500 "," 302,837 ", 14 ," 334,500 ",,
3140LGTT9,,Green Building Certification,1 Jun 2022," 42,500,000 "," 4,549,268 ", 229 , -   ,,
3140LGU59,,Green Building Certification,1 Jun 2022," 55,841,000 "," 4,683,466 ", 200 , -   ,,
3140LGFV9,,Green Rewards,1 Jun 2022," 21,300,000 "," 2,289,757 ", 140 ," 2,237,600 ",,
3140LGGC0,,Green Rewards,1 Jun 2022," 40,788,000 "," 7,783,593 ", 557 ," 1,970,470 ",,
3140LGK35,,Green Rewards,1 Jun 2022," 26,000,000 "," 4,009,783 ", 268 ," 1,549,190 ",,
3140LGUV2,,Green Rewards,1 Jun 2022," 27,869,000 "," 1,863,701 ", 128 ," 2,422,590 ",,
3140LF3A0,,Green Building Certification,1 May 2022," 26,070,000 "," 2,194,128 ", 84 , -   ,,
3140LF4P6,,Green Building Certification,1 May 2022," 11,393,000 "," 845,351 ", 28 , -   ,,
3140LFXS8,,Green Building Certification,1 May 2022," 57,612,000 "," 3,908,870 ", 169 , -   ,,
3140LFXT6,,Green Building Certification,1 May 2022," 45,454,000 "," 3,179,322 ", 135 , -   ,,
3140LFYR9,,Green Building Certification,1 May 2022," 42,900,000 "," 5,452,516 ", 290 , -   ,,
3140LFYX6,,Green Building Certification,1 May 2022," 83,150,000 "," 6,080,907 ", 241 , -   ,,
3140LGA36,,Green Building Certification,1 May 2022," 62,052,000 "," 5,409,032 ", 272 , -   ,,
3140LGA51,,Green Building Certification,1 May 2022," 79,157,000 "," 6,061,027 ", 234 , -   ,,
3140LGA77,,Green Building Certification,1 May 2022," 41,367,000 "," 5,646,068 ", 225 , -   ,,
3140LGAS1,,Green Building Certification,1 May 2022," 64,447,000 "," 4,952,569 ", 211 , -   ,,
3140LGAU6,,Green Building Certification,1 May 2022," 61,243,000 "," 17,255,883 ", 687 , -   ,,
3140LGAV4,,Green Building Certification,1 May 2022," 50,093,000 "," 3,054,594 ", 113 , -   ,,
3140LGAX0,,Green Building Certification,1 May 2022," 33,717,000 "," 3,758,677 ", 187 , -   ,,
3140LGC83,,Green Building Certification,1 May 2022," 12,911,000 "," 998,248 ", 38 , -   ,,
